Timestamp,Your name (as shown in CoCalc),First choice of topic,Second choice of topic
2/26/2018 7:43:16,,Model selection for machine learning,Combinatorial designs
2/26/2018 23:37:39,,Numerical solution of ODEs,Permutation groups
2/28/2018 14:23:18,,Fourier transforms,Numerical solution of ODEs
,,,
2/28/2018 11:44:31,,Permutation groups,Numerical solution of ODEs
2/26/2018 22:06:22,,Model selection for machine learning,Permutation groups
3/2/2018 14:01:30,,Fourier transforms,Model selection for machine learning
2/27/2018 6:37:49,,Numerical solution of ODEs,Permutation groups
2/27/2018 17:41:09,,Numerical solution of ODEs,Permutation groups
3/1/2018 11:02:44,,Permutation groups,Numerical solution of ODEs
,,,
2/26/2018 22:24:29,,Model selection for machine learning,Model selection for machine learning
,,,
3/1/2018 4:02:21,,Permutation groups,Numerical solution of ODEs
3/3/2018 13:47:35,,Model selection for machine learning,Combinatorial designs
2/28/2018 13:44:50,,Model selection for machine learning,Numerical solution of ODEs
2/26/2018 19:58:34,,Linear feedback shift registers,Fourier transforms
2/26/2018 22:17:29,,Numerical solution of ODEs,Model selection for machine learning
2/27/2018 2:11:30,,Model selection for machine learning,Numerical solution of ODEs
2/28/2018 14:02:20,,Numerical solution of ODEs,Fourier transforms
2/27/2018 1:38:20,,Numerical solution of ODEs,Permutation groups
,,,
,,,
2/26/2018 22:10:12,,Numerical solution of ODEs,Model selection for machine learning
2/28/2018 13:23:55,,Permutation groups,Numerical solution of ODEs
,,,
2/26/2018 22:25:01,,Combinatorial designs,Permutation groups
2/28/2018 13:48:24,,Combinatorial designs,Model selection for machine learning
2/28/2018 12:16:11,,Model selection for machine learning,Numerical solution of ODEs
2/26/2018 22:08:56,,Permutation groups,Combinatorial designs
3/1/2018 17:25:44,,Model selection for machine learning,Fourier transforms
2/28/2018 12:36:44,,Numerical solution of ODEs,Combinatorial designs
2/26/2018 22:50:55,,Model selection for machine learning,Permutation groups
,,,
2/27/2018 23:17:20,,Permutation groups,Model selection for machine learning
2/27/2018 17:12:16,,Fourier transforms,Numerical solution of ODEs
2/28/2018 14:34:59,,Permutation groups,Fourier transforms
2/27/2018 14:40:00,,Model selection for machine learning,Numerical solution of ODEs
3/1/2018 16:47:17,,Numerical solution of ODEs,Model selection for machine learning
2/27/2018 23:46:05,,Combinatorial designs,Numerical solution of ODEs
2/28/2018 14:22:53,,Permutation groups,Combinatorial designs
